,LATITUDE,LONGITUDE,CRASHES,LOG_CRASHES
219,40.61,-73.91,125,4.8283137373023015
220,40.61,-73.9,137,4.919980925828125
221,40.61,-73.82,111,4.709530201312334
222,40.61,-73.77,29,3.367295829986474
223,40.61,-73.76,272,5.605802066295998
224,40.61,-73.75,388,5.961005339623274
225,40.61,-73.74,22,3.091042453358316
226,40.62,-74.18,69,4.23410650459726
227,40.62,-74.17,251,5.5254529391317835
228,40.62,-74.16,223,5.407171771460119
229,40.62,-74.15,291,5.673323267171493
230,40.62,-74.14,227,5.424950017481403
231,40.62,-74.13,108,4.68213122712422
232,40.62,-74.12,105,4.653960350157523
233,40.62,-74.11,115,4.74493212836325
234,40.62,-74.1,153,5.030437921392435
235,40.62,-74.09,179,5.187385805840755
236,40.62,-74.08,428,6.059123195581797
237,40.62,-74.07,156,5.049856007249537
238,40.62,-74.06,8,2.0794415416798357
239,40.62,-74.04,144,4.969813299576001
240,40.62,-74.03,721,6.580639137284949
241,40.62,-74.02,483,6.180016653652572
242,40.62,-74.01,429,6.061456918928017
243,40.62,-74.0,611,6.415096959171596
244,40.62,-73.99,780,6.659293919683638
245,40.62,-73.98,464,6.139884552226255
246,40.62,-73.97,515,6.244166900663736
247,40.62,-73.96,652,6.480044561926653
248,40.62,-73.95,455,6.12029741895095
249,40.62,-73.94,590,6.380122536899765
250,40.62,-73.93,546,6.302618975744905
251,40.62,-73.92,443,6.093569770045136
252,40.62,-73.91,196,5.278114659230517
253,40.62,-73.9,124,4.820281565605037
254,40.62,-73.89,10,2.302585092994046
255,40.63,-74.19,11,2.3978952727983707
256,40.63,-74.18,39,3.6635616461296463
257,40.63,-74.17,129,4.859812404361672
258,40.63,-74.16,266,5.583496308781699
259,40.63,-74.15,357,5.877735781779639
260,40.63,-74.14,323,5.777652323222656
261,40.63,-74.13,352,5.863631175598097
262,40.63,-74.12,341,5.831882477283517
263,40.63,-74.11,217,5.37989735354046
264,40.63,-74.1,122,4.804021044733257
265,40.63,-74.09,221,5.3981627015177525
266,40.63,-74.08,466,6.144185634125646
267,40.63,-74.07,47,3.8501476017100584
268,40.63,-74.04,120,4.787491742782046
269,40.63,-74.03,373,5.921578419643816
270,40.63,-74.02,776,6.654152520183219
271,40.63,-74.01,790,6.672032945461067
272,40.63,-74.0,662,6.495265555937008
273,40.63,-73.99,479,6.171700597410915
274,40.63,-73.98,655,6.484635235635252
275,40.63,-73.97,728,6.590301048196686
276,40.63,-73.96,488,6.1903154058531475
277,40.63,-73.95,786,6.666956792429207
278,40.63,-73.94,715,6.5722825426940075
279,40.63,-73.93,758,6.630683385642372
280,40.63,-73.92,758,6.630683385642372
281,40.63,-73.91,339,5.82600010738045
282,40.63,-73.9,370,5.91350300563827
283,40.63,-73.89,797,6.680854678790215
284,40.63,-73.88,131,4.875197323201151
285,40.64,-74.18,11,2.3978952727983707
286,40.64,-74.17,134,4.897839799950911
287,40.64,-74.16,102,4.624972813284271
288,40.64,-74.15,73,4.290459441148391
289,40.64,-74.14,172,5.147494476813453
290,40.64,-74.13,170,5.135798437050262
291,40.64,-74.12,180,5.19295685089021
292,40.64,-74.11,150,5.0106352940962555
293,40.64,-74.1,86,4.454347296253507
294,40.64,-74.09,256,5.545177444479562
295,40.64,-74.08,606,6.406879986069314
296,40.64,-74.07,15,2.70805020110221
297,40.64,-74.04,66,4.189654742026425
298,40.64,-74.03,306,5.723585101952381
299,40.64,-74.02,1214,7.101675971619444
300,40.64,-74.01,946,6.852242569051878
301,40.64,-74.0,721,6.580639137284949
302,40.64,-73.99,756,6.628041376179533
303,40.64,-73.98,729,6.591673732008658
304,40.64,-73.97,783,6.663132695990803
305,40.64,-73.96,914,6.81783057145415
306,40.64,-73.95,1254,7.134093721192866
307,40.64,-73.94,641,6.46302945692067
308,40.64,-73.93,931,6.836259277277067
309,40.64,-73.92,672,6.51025834052315
310,40.64,-73.91,931,6.836259277277067
311,40.64,-73.9,858,6.754604099487962
312,40.64,-73.89,429,6.061456918928017
313,40.64,-73.88,461,6.133398042996649
314,40.64,-73.74,108,4.68213122712422
315,40.65,-74.11,8,2.0794415416798357
316,40.65,-74.1,25,3.2188758248682006
317,40.65,-74.09,110,4.700480365792417
318,40.65,-74.08,60,4.0943445622221
319,40.65,-74.02,421,6.042632833682381
320,40.65,-74.01,1294,7.165493475060845
321,40.65,-74.0,471,6.154858094016418
322,40.65,-73.99,71,4.2626798770413155
323,40.65,-73.98,422,6.045005314036012
324,40.65,-73.97,534,6.280395838960195
325,40.65,-73.96,1540,7.3395376954076745
326,40.65,-73.95,1406,7.2485040723706105
327,40.65,-73.94,727,6.588926477533519
328,40.65,-73.93,1069,6.974478911025045
329,40.65,-73.92,1149,7.046647277848756
330,40.65,-73.91,1208,7.0967213784947605
331,40.65,-73.9,496,6.206575926724928
332,40.65,-73.89,721,6.580639137284949
333,40.65,-73.88,405,6.003887067106539
334,40.65,-73.87,600,6.396929655216146
335,40.65,-73.86,89,4.48863636973214
336,40.65,-73.85,13,2.5649493574615367
337,40.65,-73.84,103,4.634728988229636
338,40.65,-73.83,17,2.833213344056216
339,40.65,-73.76,49,3.8918202981106265
340,40.65,-73.75,41,3.713572066704308
341,40.65,-73.74,50,3.912023005428146
342,40.65,-73.73,92,4.5217885770490405
343,40.66,-74.02,1,0.0
344,40.66,-74.01,161,5.081404364984463
345,40.66,-74.0,707,6.561030665896573
346,40.66,-73.99,490,6.194405391104672
347,40.66,-73.98,397,5.983936280687191
348,40.66,-73.97,31,3.4339872044851463
349,40.66,-73.96,1033,6.940222469119639
350,40.66,-73.95,1216,7.103322062526113
351,40.66,-73.94,872,6.77078942390898
352,40.66,-73.93,1553,7.347943823148687
353,40.66,-73.92,1443,7.274479558773871
354,40.66,-73.91,1139,7.037905963447182
355,40.66,-73.9,1231,7.115582126184454
356,40.66,-73.89,1649,7.407924322559599
357,40.66,-73.88,781,6.660575149839686
358,40.66,-73.87,427,6.056784013228625
359,40.66,-73.86,178,5.181783550292085
360,40.66,-73.85,176,5.170483995038151
361,40.66,-73.84,360,5.886104031450156
362,40.66,-73.83,54,3.9889840465642745
363,40.66,-73.82,279,5.631211781821365
364,40.66,-73.81,19,2.9444389791664403
365,40.66,-73.8,71,4.2626798770413155
366,40.66,-73.79,7,1.9459101490553132
367,40.66,-73.78,89,4.48863636973214
368,40.66,-73.77,654,6.483107351457199
369,40.66,-73.76,225,5.41610040220442
370,40.66,-73.75,204,5.318119993844216
371,40.66,-73.74,340,5.8289456176102075
372,40.66,-73.73,269,5.594711379601839
373,40.67,-74.02,5,1.6094379124341003
374,40.67,-74.01,100,4.605170185988092
375,40.67,-74.0,1001,6.90875477931522
376,40.67,-73.99,910,6.813444599510896
377,40.67,-73.98,627,6.440946540632921
378,40.67,-73.97,348,5.8522024797744745
379,40.67,-73.96,977,6.884486652042782
380,40.67,-73.95,1125,7.025538314638521
381,40.67,-73.94,1115,7.016609683894219
382,40.67,-73.93,1986,7.593877844605118
383,40.67,-73.92,1347,7.205635176410364
384,40.67,-73.91,1491,7.307202314764738
385,40.67,-73.9,1584,7.367708572374371
386,40.67,-73.89,1246,7.1276936993473985
387,40.67,-73.88,1077,6.981934677156389
388,40.67,-73.87,1106,7.00850518208228
389,40.67,-73.86,617,6.424869023905388
390,40.67,-73.85,359,5.883322388488279
391,40.67,-73.84,463,6.137727054086234
392,40.67,-73.83,358,5.8805329864007
393,40.67,-73.82,541,6.293419278846481
394,40.67,-73.81,732,6.595780513961311
395,40.67,-73.8,997,6.904750769961838
396,40.67,-73.79,853,6.748759547491679
397,40.67,-73.78,750,6.620073206530356
398,40.67,-73.77,860,6.756932389247553
399,40.67,-73.76,1055,6.961296045910167
400,40.67,-73.75,613,6.418364935936212
401,40.67,-73.74,1109,7.011213987350367
402,40.67,-73.73,442,6.091309882077698
403,40.68,-74.02,37,3.6109179126442243
404,40.68,-74.01,321,5.771441123130016
405,40.68,-74.0,1039,6.946013991099227
406,40.68,-73.99,478,6.169610732491456
407,40.68,-73.98,1528,7.331714969726466
408,40.68,-73.97,1318,7.183870715062453
409,40.68,-73.96,1113,7.014814351275545
410,40.68,-73.95,1569,7.358193752733032
411,40.68,-73.94,1407,7.249215057114389
412,40.68,-73.93,1351,7.208600337960199
413,40.68,-73.92,1158,7.05444965813294
414,40.68,-73.91,1569,7.358193752733032
415,40.68,-73.9,1620,7.3901814282264295
416,40.68,-73.89,1082,6.9865664594064265
417,40.68,-73.88,1187,7.079184394609668
418,40.68,-73.87,1179,7.072421900537371
419,40.68,-73.86,549,6.3080984415095305
420,40.68,-73.85,463,6.137727054086234
421,40.68,-73.84,596,6.39024066706535
422,40.68,-73.83,577,6.3578422665081
423,40.68,-73.82,725,6.586171654854675
424,40.68,-73.81,606,6.406879986069314
425,40.68,-73.8,475,6.163314804034641
426,40.68,-73.79,448,6.104793232414985
427,40.68,-73.78,556,6.320768294250582
428,40.68,-73.77,429,6.061456918928017
429,40.68,-73.76,481,6.175867270105761
430,40.68,-73.75,458,6.126869184114185
431,40.68,-73.74,356,5.87493073085203
432,40.68,-73.73,409,6.013715156042802
433,40.69,-74.0,1071,6.976348070447749
434,40.69,-73.99,1327,7.190676034332207
435,40.69,-73.98,1788,7.488852955733459
436,40.69,-73.97,947,6.853299093186078
437,40.69,-73.96,928,6.833031732786201
438,40.69,-73.95,1144,7.042286171939743
439,40.69,-73.94,1049,6.955592608396297
440,40.69,-73.93,959,6.8658910748834385
441,40.69,-73.92,1391,7.237778191923443
442,40.69,-73.91,1202,7.091742115095153
443,40.69,-73.9,289,5.666426688112432
444,40.69,-73.89,239,5.476463551931511
445,40.69,-73.88,433,6.07073772800249
446,40.69,-73.87,487,6.18826412308259
447,40.69,-73.86,496,6.206575926724928
448,40.69,-73.85,707,6.561030665896573
449,40.69,-73.84,457,6.124683390894205
450,40.69,-73.83,748,6.617402977974478
451,40.69,-73.82,668,6.504288173536645
452,40.69,-73.81,962,6.8690144506657065
453,40.69,-73.8,649,6.47543271670409
454,40.69,-73.79,594,6.386879319362645
455,40.69,-73.78,484,6.182084906716632
456,40.69,-73.77,216,5.375278407684165
457,40.69,-73.76,505,6.22455842927536
458,40.69,-73.75,430,6.063785208687608
459,40.69,-73.74,248,5.5134287461649825
460,40.69,-73.73,633,6.450470422144176
461,40.7,-74.02,32,3.4657359027997265
462,40.7,-74.01,246,5.5053315359323625
463,40.7,-74.0,118,4.770684624465665
464,40.7,-73.99,1309,7.1770187659099
465,40.7,-73.98,1033,6.940222469119639
466,40.7,-73.97,551,6.311734809152915
467,40.7,-73.96,1919,7.5595594960077
468,40.7,-73.95,1144,7.042286171939743
469,40.7,-73.94,1930,7.5652752818989315
470,40.7,-73.93,1496,7.310550158534422
471,40.7,-73.92,1590,7.371489295214277
472,40.7,-73.91,1226,7.111512116496157
473,40.7,-73.9,750,6.620073206530356
474,40.7,-73.89,546,6.302618975744905
475,40.7,-73.88,233,5.4510384535657
476,40.7,-73.87,311,5.739792912179234
477,40.7,-73.86,463,6.137727054086234
478,40.7,-73.85,308,5.730099782973574
479,40.7,-73.84,377,5.932245187448011
480,40.7,-73.83,443,6.093569770045136
481,40.7,-73.82,1083,6.9874902470009905
482,40.7,-73.81,1185,7.077498053569231
483,40.7,-73.8,777,6.655440350367647
484,40.7,-73.79,695,6.543911845564792
485,40.7,-73.78,361,5.8888779583328805
486,40.7,-73.77,253,5.53338948872752
487,40.7,-73.76,423,6.0473721790462776
488,40.7,-73.75,507,6.2285110035911835
489,40.7,-73.74,423,6.0473721790462776
490,40.7,-73.73,282,5.641907070938114
491,40.71,-74.02,209,5.342334251964811
492,40.71,-74.01,1205,7.094234845924755
493,40.71,-74.0,810,6.697034247666484
494,40.71,-73.99,510,6.234410725718371
495,40.71,-73.98,364,5.8971538676367405
496,40.71,-73.97,362,5.8916442118257715
497,40.71,-73.96,1536,7.336936913707618
498,40.71,-73.95,1516,7.323830566202317
499,40.71,-73.94,1164,7.059617628291383
500,40.71,-73.93,832,6.723832440821209
501,40.71,-73.92,838,6.731018100482083
502,40.71,-73.91,660,6.492239835020471
503,40.71,-73.9,725,6.586171654854675
504,40.71,-73.89,161,5.081404364984463
505,40.71,-73.88,280,5.634789603169249
506,40.71,-73.87,290,5.66988092298052
507,40.71,-73.86,448,6.104793232414985
508,40.71,-73.85,267,5.58724865840025
509,40.71,-73.84,490,6.194405391104672
510,40.71,-73.83,610,6.413458957167357
511,40.71,-73.82,572,6.349138991379798
512,40.71,-73.81,548,6.306275286948016
513,40.71,-73.8,757,6.6293632534374485
514,40.71,-73.79,1014,6.921658184151129
515,40.71,-73.78,714,6.570882962339584
516,40.71,-73.77,457,6.124683390894205
517,40.71,-73.76,461,6.133398042996649
518,40.71,-73.75,503,6.220590170099739
519,40.71,-73.74,352,5.863631175598097
520,40.71,-73.73,706,6.559615237493242
521,40.72,-74.02,16,2.772588722239781
522,40.72,-74.01,1007,6.914730892718563
523,40.72,-74.0,2047,7.624130585661289
524,40.72,-73.99,2515,7.83002808253384
525,40.72,-73.98,1031,6.93828448401696
526,40.72,-73.97,233,5.4510384535657
527,40.72,-73.96,844,6.738152494595957
528,40.72,-73.95,1002,6.90975328164481
529,40.72,-73.94,1389,7.236339342754344
530,40.72,-73.93,83,4.418840607796598
531,40.72,-73.92,143,4.962844630259907
532,40.72,-73.91,430,6.063785208687608
533,40.72,-73.9,430,6.063785208687608
534,40.72,-73.89,288,5.662960480135946
535,40.72,-73.88,161,5.081404364984463
536,40.72,-73.87,249,5.517452896464707
537,40.72,-73.86,165,5.10594547390058
538,40.72,-73.85,452,6.113682179832232
539,40.72,-73.84,473,6.159095388491933
540,40.72,-73.83,569,6.343880434126331
541,40.72,-73.82,605,6.405228458030842
542,40.72,-73.81,526,6.26530121273771
543,40.72,-73.8,510,6.234410725718371
544,40.72,-73.79,363,5.8944028342648505
545,40.72,-73.78,326,5.786897381366708
546,40.72,-73.77,217,5.37989735354046
547,40.72,-73.76,469,6.150602768446279
548,40.72,-73.75,487,6.18826412308259
549,40.72,-73.74,402,5.996452088619021
550,40.72,-73.73,198,5.288267030694535
551,40.72,-73.72,150,5.0106352940962555
552,40.73,-74.01,667,6.502790045915623
553,40.73,-74.0,1177,7.0707241072602764
554,40.73,-73.99,1161,7.057036981697891
555,40.73,-73.98,743,6.610696044717759
556,40.73,-73.97,229,5.43372200355424
557,40.73,-73.96,303,5.713732805509369
558,40.73,-73.95,905,6.807934943699926
559,40.73,-73.94,433,6.07073772800249
560,40.73,-73.93,382,5.945420608606575
561,40.73,-73.92,456,6.1224928095143865
562,40.73,-73.91,691,6.53813982376767
563,40.73,-73.9,435,6.075346031088684
564,40.73,-73.89,404,6.0014148779611505
565,40.73,-73.88,372,5.918893854273146
566,40.73,-73.87,1160,7.05617528410041
567,40.73,-73.86,775,6.652863029353347
568,40.73,-73.85,436,6.077642243349034
569,40.73,-73.84,359,5.883322388488279
570,40.73,-73.83,357,5.877735781779639
571,40.73,-73.82,319,5.765191102784844
572,40.73,-73.81,430,6.063785208687608
573,40.73,-73.8,194,5.267858159063328
574,40.73,-73.79,267,5.58724865840025
575,40.73,-73.78,172,5.147494476813453
576,40.73,-73.77,276,5.62040086571715
577,40.73,-73.76,298,5.697093486505405
578,40.73,-73.75,248,5.5134287461649825
579,40.73,-73.74,288,5.662960480135946
580,40.73,-73.73,172,5.147494476813453
581,40.73,-73.72,314,5.749392985908253
582,40.73,-73.71,135,4.90527477843843
583,40.73,-73.7,3,1.0986122886681098
584,40.74,-74.01,465,6.142037405587356
585,40.74,-74.0,1122,7.022868086082641
586,40.74,-73.99,1280,7.154615356913663
587,40.74,-73.98,1583,7.367077059881012
588,40.74,-73.97,510,6.234410725718371
589,40.74,-73.96,145,4.976733742420574
590,40.74,-73.95,531,6.274762021241939
591,40.74,-73.94,438,6.082218910376446
592,40.74,-73.93,1103,7.005789019253503
593,40.74,-73.92,786,6.666956792429207
594,40.74,-73.91,439,6.0844994130751715
595,40.74,-73.9,984,6.891625897052253
596,40.74,-73.89,526,6.26530121273771
597,40.74,-73.88,907,6.810142450115136
598,40.74,-73.87,800,6.684611727667927
599,40.74,-73.86,819,6.70808408385307
600,40.74,-73.85,1165,7.060476365999801
601,40.74,-73.84,570,6.345636360828596
602,40.74,-73.83,236,5.4638318050256105
603,40.74,-73.82,366,5.902633333401366
604,40.74,-73.81,394,5.976350909297934
605,40.74,-73.8,281,5.638354669333745
606,40.74,-73.79,373,5.921578419643816
607,40.74,-73.78,329,5.796057750765372
608,40.74,-73.77,435,6.075346031088684
609,40.74,-73.76,100,4.605170185988092
610,40.74,-73.75,94,4.543294782270004
611,40.74,-73.74,127,4.844187086458591
612,40.74,-73.73,416,6.030685260261263
613,40.74,-73.72,221,5.3981627015177525
614,40.74,-73.71,213,5.3612921657094255
615,40.74,-73.7,77,4.343805421853684
616,40.75,-74.01,276,5.62040086571715
617,40.75,-74.0,1163,7.0587581525186645
618,40.75,-73.99,1925,7.562681246721884
619,40.75,-73.98,1621,7.390798521735676
620,40.75,-73.97,1349,7.207118856207756
621,40.75,-73.96,150,5.0106352940962555
622,40.75,-73.95,494,6.202535517187923
623,40.75,-73.94,1064,6.96979066990159
624,40.75,-73.93,782,6.661854740545311
625,40.75,-73.92,512,6.238324625039508
626,40.75,-73.91,670,6.507277712385012
627,40.75,-73.9,1105,7.007600613951853
628,40.75,-73.89,1211,7.099201743553092
629,40.75,-73.88,1180,7.07326971745971
630,40.75,-73.87,1342,7.201916317531627
631,40.75,-73.86,1104,7.00669522683704
632,40.75,-73.85,504,6.222576268071369
633,40.75,-73.84,130,4.867534450455582
634,40.75,-73.83,640,6.461468176353717
635,40.75,-73.82,337,5.820082930352362
636,40.75,-73.81,230,5.438079308923196
637,40.75,-73.8,101,4.61512051684126
638,40.75,-73.79,142,4.955827057601261
639,40.75,-73.78,161,5.081404364984463
640,40.75,-73.77,173,5.153291594497779
641,40.75,-73.76,491,6.19644412779452
642,40.75,-73.75,259,5.556828061699537
643,40.75,-73.74,463,6.137727054086234
644,40.75,-73.73,95,4.553876891600541
645,40.75,-73.72,166,5.111987788356544
646,40.75,-73.71,249,5.517452896464707
647,40.75,-73.7,68,4.219507705176107
648,40.76,-74.01,7,1.9459101490553132
649,40.76,-74.0,1128,7.028201432058005
650,40.76,-73.99,2016,7.60887062919126
651,40.76,-73.98,1403,7.246368080102461
652,40.76,-73.97,1714,7.446585099157725
