,CRASH HOUR,COUNT
0,0,21391
1,1,11547
2,2,9084
3,3,8229
4,4,8888
5,5,9242
6,6,12874
7,7,16805
8,8,24220
9,9,21879
10,10,21463
11,11,22748
12,12,24480
13,13,25319
14,14,28908
15,15,29331
16,16,31002
17,17,30834
18,18,28098
19,19,24153
20,20,21067
21,21,19060
22,22,18067
23,23,16303
